Altitude,Atmospheric Pressure,Static Air Temperature,Atmospheric Density
6.664895757,100142.6641,307.0296021,1.136237808
7.941581206,100125.1016,307.034729,1.136019571
9.539242745,100102.0859,307.0223389,1.13580427
11.79084962,100069.3594,307.0046082,1.135498515
14.69905036,100026.8828,306.9815063,1.135101944
18.26648947,99974.64063,306.9530029,1.134614451
22.49580482,99912.59375,306.9190979,1.134035541
27.38962734,99840.71875,306.8796692,1.133365339
31.60792923,99778.73438,306.8456421,1.132787313
38.17899531,99682.14063,306.7924805,1.131886787
44.97844956,99582.19531,306.7373657,1.130955086
52.45244714,99472.35156,306.6766663,1.12993119
60.60359784,99352.60156,306.6104126,1.128814786
69.43448694,99222.9375,306.5384521,1.127606227
78.94767937,99083.35156,306.4608154,1.126305179
89.14577498,98933.83594,306.3774719,1.124911522
100.031289,98774.39844,306.2883606,1.123425417
111.6068231,98605.03906,306.1934814,1.121846698
123.8749162,98425.75781,306.0927429,1.120175525
136.8380771,98236.57031,305.9861145,1.118412
150.4988544,98037.47656,305.8736267,1.116555813
164.8597784,97828.5,305.7551575,1.114607468
179.9233956,97609.64063,305.6307068,1.112566742
195.6921459,97380.94531,305.5002136,1.110434159
212.1685712,97142.40625,305.3635864,1.108209719
229.3552019,96894.05469,305.2208557,1.105893409
247.2544594,96635.9375,305.0719604,1.103485718
265.8689117,96368.0625,304.9168091,1.100986786
285.2009333,96090.47656,304.7554016,1.098396855
305.2530626,95803.21094,304.587677,1.095716198
326.0277994,95506.30469,304.4134827,1.092945493
347.5276091,95199.79688,304.2329407,1.090084418
369.7549399,94883.72656,304.0458984,1.087133627
392.7121805,94558.15625,303.8523254,1.08409359
416.4019839,94223.13281,303.6521301,1.080964803
440.8266046,93878.69531,303.445282,1.077747443
467.9547226,93497.3125,303.2150574,1.074184073
493.9137793,93133.53125,302.9942017,1.070784554
520.615189,92760.51563,302.7664795,1.067298031
548.0618795,92378.34375,302.5319214,1.063724865
576.2563415,91987.07031,302.2904053,1.060065669
605.2010904,91586.75781,302.0418396,1.056321024
634.8989297,91177.5,301.7861938,1.052491647
665.3525564,90759.34375,301.5234375,1.048577698
696.5647022,90332.38281,301.2534485,1.044580188
728.5380842,89896.67969,300.9761353,1.040499643
761.2756448,89452.32031,300.6915283,1.036336425
794.7800756,88999.39063,300.3994141,1.032091728
829.0544713,88537.95313,300.0999146,1.027765301
871.5918916,88031.63281,299.7688293,1.023016482
907.4748135,87552.84375,299.4534607,1.018523997
944.1370567,87065.82031,299.1304016,1.013952213
984.4942471,86532.25,298.7737427,1.008941333
1022.784616,86028.44531,298.4344482,1.004207516
1061.864253,85516.71094,298.0870972,0.999397265
1101.735724,84997.13281,297.731781,0.994510622
1142.402971,84469.82031,297.3683777,0.989548608
1183.86906,83934.875,296.9967346,0.984512238
1226.137625,83392.40625,296.6168213,0.979402198
1269.21199,82842.51563,296.2285767,0.974219172
1313.095523,82285.3125,295.8318787,0.968964122
1357.792227,81720.90625,295.4266663,0.963637796
1403.305117,81149.42188,295.0128784,0.958241114
1449.63793,80570.96094,294.5903931,0.952774903
1496.794522,79985.65625,294.1591187,0.947240246
1544.778177,79393.61719,293.7190247,0.941637741
1597.382633,78748.65625,293.2351074,0.935529598
1647.096366,78143.04688,292.7763672,0.929789566
1697.649125,77531.08594,292.3085022,0.923984668
1749.044205,76912.92188,291.8314819,0.918115914
1801.285684,76288.6875,291.3451843,0.912184408
1854.376846,75658.5,290.8495483,0.906190862
1887.472768,75267.79688,290.539856,0.9024722
1946.171135,74578.88281,289.9891968,0.895910032
2001.570354,73933.38281,289.4679871,0.889754887
2057.833122,73282.46094,288.9371338,0.883541657
2119.395278,72575.57031,288.3544922,0.876786958
2177.466564,71913.83594,287.8033142,0.870456373
2236.414171,71247.13281,287.2422485,0.86407098
2300.880798,70523.75,286.6268311,0.857134351
2366.373575,69794.96094,285.9997864,0.850136583
2428.110271,69113.5625,285.4070129,0.843585264
2490.740352,68427.83594,284.8040161,0.83698378
2554.256559,67737.9375,284.1907349,0.830333193
2618.687603,67044.02344,283.5671387,0.823634469
2684.01244,66346.26563,282.9331055,0.816889026
2750.249871,65644.82813,282.2885742,0.810098001
2817.42455,64939.86328,281.6335449,0.803262206
2880.224554,64286.15625,281.0194397,0.796913972
2954.487272,63520.05859,280.2915039,0.789462129
3024.399729,62805.54688,279.6044617,0.782499826
3100.756428,62032.88672,278.8524475,0.774957483
3172.631518,61312.64063,278.1428833,0.767913697
3245.419197,60589.90234,277.4224243,0.760832464
3319.163169,59864.83594,276.6910095,0.753714888
3399.66315,59081.59766,275.8910217,0.746010617
3481.232217,58296.07422,275.0782166,0.738266998
3563.957771,57508.50781,274.252533,0.730485832
3641.75885,56775.58203,273.4743652,0.723228143
3720.515001,56041.31641,272.6850281,0.715941241
3800.233794,55305.92188,271.8846436,0.708626358
3843.565921,54909.55469,271.4490662,0.704676705
3924.753943,54172.85156,270.6317139,0.697321979
4000.610022,53492.29297,269.8673706,0.690511923
4090.087004,52697.87891,268.9637756,0.682542483
4174.212754,51959.98828,268.1133118,0.67512006
4259.318968,51222.05469,267.2518005,0.667677438
4352.069614,50427.49609,266.311676,0.659640849
4432.496222,49746.71875,265.495636,0.652735749
4527.410429,48952.96094,264.5317078,0.644661263
4616.573747,48216.51953,263.6251221,0.637146658
4713.755029,47424.28516,262.6364441,0.629036938
4805.033079,46689.62109,261.7068787,0.621492021
4904.516103,45899.68359,260.6934814,0.613352112
4997.954782,45167.53516,259.7410889,0.605781603
5092.442283,44436.88672,258.7778015,0.598200747
5187.956144,43707.92578,257.8036499,0.590610931
5284.563258,42980.83203,256.8187561,0.583013251
5382.215777,42255.78125,255.8231812,0.575408914
5480.916627,41532.95313,254.8170166,0.56779914
5580.686805,40812.50781,253.8003082,0.560185008
5689.352381,40039.48828,252.6937408,0.551981318
5791.396957,39324.50391,251.6554718,0.544361272
5894.535274,38612.39453,250.6069641,0.536739979
5998.763916,37903.31641,249.5483398,0.529118408
